date,location,age_group,value
2020-11-21,GM08,80+,98
2020-11-21,GM01,00-04,6
2020-11-21,GM01,00+,1004
2020-11-21,GM01,05-14,9
2020-11-21,GM01,15-34,90
2020-11-21,GM01,35-59,188
2020-11-21,GM01,60-79,322
2020-11-21,GM01,80+,389
2020-11-21,GM02,00-04,6
2020-11-21,GM02,00+,1306
2020-11-21,GM02,05-14,4
2020-11-21,GM02,15-34,97
2020-11-21,GM02,35-59,242
2020-11-21,GM02,60-79,456
2020-11-21,GM02,80+,501
2020-11-21,GM09,00-04,0
2020-11-21,GM09,00+,59
2020-11-21,GM09,05-14,0
2020-11-21,GM09,15-34,2
2020-11-21,GM09,35-59,13
2020-11-21,GM09,60-79,18
2020-11-21,GM09,80+,26
2020-11-21,GM16,00-04,8
2020-11-21,GM16,00+,528
2020-11-21,GM16,05-14,6
2020-11-21,GM16,15-34,45
2020-11-21,GM16,35-59,118
2020-11-21,GM16,60-79,190
2020-11-21,GM16,80+,161
2020-11-21,GM11,00-04,0
2020-11-21,GM11,00+,220
2020-11-21,GM11,05-14,2
2020-11-21,GM11,15-34,9
2020-11-21,GM11,35-59,38
2020-11-21,GM11,60-79,76
2020-11-21,GM11,80+,95
2020-11-21,GM12,00-04,1
2020-11-21,GM12,00+,87
2020-11-21,GM12,05-14,1
2020-11-21,GM12,15-34,4
2020-11-21,GM12,35-59,14
2020-11-21,GM12,60-79,37
2020-11-21,GM12,80+,30
2020-11-21,GM13,00-04,2
2020-11-21,GM13,00+,688
2020-11-21,GM13,05-14,5
2020-11-21,GM13,15-34,24
2020-11-21,GM13,35-59,101
2020-11-21,GM13,60-79,272
2020-11-21,GM13,80+,284
2020-11-21,GM14,00-04,0
2020-11-21,GM14,00+,160
2020-11-21,GM14,05-14,1
2020-11-21,GM14,15-34,4
2020-11-21,GM14,35-59,34
2020-11-21,GM14,60-79,63
2020-11-21,GM14,80+,58
2020-11-21,GM15,00-04,0
2020-11-21,GM15,00+,255
2020-11-21,GM15,05-14,1
2020-11-21,GM15,15-34,8
2020-11-21,GM15,35-59,30
2020-11-21,GM15,60-79,96
2020-11-21,GM15,80+,120
2020-11-20,GM,00-04,69
2020-11-20,GM,00+,8014
2020-11-20,GM,05-14,57
2020-11-20,GM,15-34,622
